9,0,1,5,980.5,362,363,142,-159.758,11.7477,-166.172,8.17375
9,1,1,3,733,241,60,64,-7.14087,12.0333,-18.2635,3.94686
9,2,1,3,1562.5,375.5,199,71,-202.593,29.6451,-192.659,7.0365
9,3,1,3,993,172,32,32,-23.2356,24.3214,-10.7038,12.4825
10,0,1,5,974,362,360,142,-179.971,5.84777,-177.626,6.77468
10,1,1,3,733,241.5,60,63,4.335,11.0174,-15.0215,4.03744
10,2,1,3,1555.5,376,197,72,-154.098,26.0079,-184.706,6.93586
10,3,1,3,992,173.5,32,33,-28.4666,23.1336,-13.0646,12.9323
11,0,1,5,967.5,362.5,361,141,-186.05,-6.9337,-185.408,3.21902
11,1,1,3,732.5,241.5,61,63,17.3797,15.1776,-11.0506,5.62321
11,2,1,3,1550.5,376,193,72,-111.412,14.4537,-177.321,4.42989
11,3,1,3,992,173.5,32,33,-38.7739,16.8644,-17.0369,11.8638
12,0,1,5,961,362.5,362,141,-168.028,-15.4121,-186.334,0.497983
12,1,1,3,733.5,241.5,61,63,-27.9917,15.1056,-23.755,6.11004
12,2,1,3,1546.5,376.5,189,73,-82.4541,12.5163,-172.556,4.35668
12,3,1,3,991,173.5,32,33,-62.7429,8.3424,-25.3469,9.93012
12,4,1,4,1886.5,354.5,59,57,-9.19948,1.37013,-24.5277,2.10218
13,0,1,5,955,361.5,366,141,-192.065,-44.4656,-199.103,-8.68298
13,1,1,3,730.5,241.5,61,63,-61.2104,36.8517,-34.5954,13.102
13,2,1,3,1541,376.5,186,73,-45.4896,21.8213,-164.28,7.55167
13,3,1,3,989,173.5,32,33,-53.3813,5.76631,-24.6463,9.4393
13,4,1,4,1882.5,355.5,63,59,-50.7478,2.72699,-76.9334,3.84823
14,0,1,5,948.5,360.5,367,141,-135.738,-51.0741,-188.178,-12.197
14,1,1,3,728,242.5,60,63,-65.95,43.5404,-38.0938,16.3902
14,2,1,3,1537.5,377,185,72,35.961,23.9554,-140.741,8.93771
14,3,1,3,989,173.5,32,33,-39.1241,0.845295,-22.0398,8.11715
14,4,1,4,1875.5,355.5,63,61,-67.6825,3.00496,-92.7229,4.17068
15,0,1,5,944,359.5,368,141,-87.6597,-45.2341,-177.339,-12.0248
15,1,1,3,727,244,60,62,-65.6841,36.3128,-40.2071,15.531
15,2,1,3,1535.5,377,185,72,34.7716,6.58639,-139.922,4.19008
15,3,1,3,989,174.5,32,33,-34.3021,0.599251,-21.803,8.06623
15,4,1,4,1871,355.5,62,61,-153.951,10.0724,-146.692,8.50733
16,0,1,5,939.5,359.5,367,139,-53.7147,-24.4774,-168.953,-6.60579
16,1,1,3,726,244,60,62,-53.097,27.6713,-38.2035,13.8595
16,2,1,3,1531,377,184,72,17.0924,-3.92018,-144.652,0.911457
16,3,1,3,988,174.5,32,33,-43.5694,-6.67565,-26.0336,5.65989
16,4,1,4,1860.5,356.5,61,59,-240.93,11.6615,-191.769,9.57372
17,0,1,5,935.5,360.5,365,137,-51.1328,-11.5682,-169.846,-2.92983
17,1,1,3,724.5,244,61,62,-44.0979,23.3725,-36.8445,13.2849
17,2,1,3,1525.5,376,183,72,-6.31828,-13.954,-152.222,-2.71038
